question,duration
aRJJvdGSWvOMZQyERBzKNWHvjzc,602
mUWnJvSKizUNNoHEVQWOHepLWwsa,25
qNGSUrJwnnwOCgWLduNyB,2
PYVFotLDCkQcBQdsxHjKvzYpcUJXRdr,381
CUrdlTQclGFCbzDWvmsoNjeFXwx,262
puUTtDSmhtUZysfzyREhgf,838
dPotCfxckJxw,577
MreoZhyGTSFo,96
vObmETtSIoGitkzEghgTYprGlNibrBY,832
aVo,803
qgaKDfuDWzfuBUVgDv,941
JsnThJLWobNtkmtwOsbCDt,564
BV,242
B,98
SZXdjtiGuEFXus,787
knMSAuqyVtaF,219
DrymEnOkEtxaxYRwzarawkAUZCn,974
wVnAtSew,329
lvffedFPuzKHUVOgkburWfIKAN,638
zhGoMibfwkqOGsKihugzDCuNeJqL,209
wqNpevqAl,132
NecQbZxCcBHVXwBltAizCOTOUzkrpL,583
JNTgZvjbHjoTmtWvHIrrVqtPx,49
iP,32
SXHKJVYUFrCkgJvjEuVPCeVGaaG,126
gMHArr,497
ZtoaDCiXOpJMycJBM,26
KapxqmRXgZDnslVomlUQnc,459
AtDAKCsTBPEvA,779
D,900
MKpGvOOwK,387
gcFhCEWcX,588
bBozoVtZpISRqTnOQkkR,94
ub,346
CEYrH,165
nGrLlFBWT,408
TPNVjvRmVKjrs,999
EeTfCgO,466
G,887
sXUGydyYuCgGtqud,65
wohnVJkZrCE,659
lOQOBVmR,728
QvOlmI,124
iaEpjRWSDtFdnuxdAcXQWSVBoCz,146
iveWjG,154
tsZfsXmsjawqYOxLrzXrpDVMTwf,220
WBlOdhvMoKCLcjYQnGPEnpXPhM,937
GNyobCAIqWEudGVEtyaatAExNux,992
KzsJRiNnoTcWgBKjEajixYTPyewi,962
IP,66
SFOVyXkHIflGfeXibkih,496
wiapFKozoWDp,456
dqsvWEDCGNVyxWICJCmL,595
bTimp,70
hbrRSD,107
jKtCmCiRq,575
FelgBkoYcz,258
GQKsRqTAV,829
gZcUlHpiGMybPjBWbY,805
OuInTTwoFwOTk,107
tIiqxsCCpXbtviljWFESajurCPBGvUc,259
hGYDKOYXq,744
HsDBhK,824
mDakuuJbfPhklTUWeyKvQrvTPuo,172
DcognHSOFHQrjYWRAoYtEj,392
bHfZcpjupoergMdgL,93
tIGymUigGbzRaYlBeWXforc,457
tjBWzVpUjZhLTpLIOfZoyOwUoo,682
BALvL,331
QeZ,646
iznECwppTqb,640
lRjQuRBHlb,205
yzfoirSnDdWDpSRoIWo,346
HLVEanJyxVcfGhDMeUx,245
mIdVhyAfXgvdUVfrt,375
MLCWbsGyHhbbpWsypVHkFYhyZqDzRM,96
gNBYeEsubLgoAL,501
DkAirULFMpyTfBAuzkkvgSCijMwgkEl,233
ypWdzRdkKloFZWvDeSmb,921
gd,846
UROiYdswJHfnxKQiJyJOrOg,532
vVIJzKoDJvEObQHUzUh,384
xQHpSJo,772
WDkgoplCRkmQZw,791
jHOvLjwXBxAmBmxEzRkUPaFIQgzKX,28
YtIbvsVBxZlakbQWdaKmGPkjtYzMhQh,492
BnQSRUJkvKvzXsfkfoYhhgoXTZtIeZE,460
wdQmLmJSrvCUJTeoDYDzxwSOwgnM,37
PhpaTvG,828
HWxgHUaSBZyqcPofrQUKKhONdfq,89
B,806
nx,336
DTcLmXXWAoPa,616
crGJwmEEwtTtB,319
ZgUnFmjdavbyimkRiwdqaIIcSPRAWS,164
TY,69
Od,592
LOYECAk,428
NdcitUk,395
bSQTSTK,965
EaSqxSKR,950
dEUzKjIUxraigjMsGHsekcm,179
aYymPOhMdeHxxMZbqoZGxC,126
xqFvfNQTIJLTWXpLSbI,999
UYwsyfNs,648
FRZSLHYnDpztOeirizyfQ,792
qkaalJgXltOPjIqueFLiDEqYNKkdTB,79
iylXTSIxWIvrsfnFAjRmOD,957
PaKWCHcPsVNzGTbWUSleogm,557
dhxNDlmbjTsNik,858
BtmAW,117
wmaoe,491
PJVpCZcrdtBIhKCJiyKMuUP,99
cwxZcspbEVvqnHNmNPY,964
PO,156
t,519
MlYUMbmaqedmT,111
sUfaMszuafOhyjuEJV,711
zmgzwiRIUtCMQQRVmqugLeLMGN,624
ZQjnR,717
YEBKIfabBuyuZVFitJ,4
dGezQaWrg,525
DZyoZgDoAZtyBdbVqkPPhjFKPc,202
QnoadbnOHTTzwg,68
WIWdPpQFbwMpsZJSxcVbvPg,616
OuoKR,782
ddLVrjKXJsbz,474
AztblftoCrQIBBZoHdawRJtWPPkwfr,936
GHybZpqRVmntnq,758
wlbyDZACxLlsD,435
sZUpxBVJyiLldWZbyHlayvgJOYis,642
wQvDmtwzaqMYSStlQ,958
XEQCIStxg,214
hKPhsFvwjehECNTvYQEuIpgoJmhtUf,369
dqW,401
ZEVQqNHbUYZYnozLQcCWjk,242
OhCWwyGihHTAmq,499
ihUvjBiZx,363
Tf,627
T,323
sqehGFIgfTLmAJRLoJpKYbURkbR,290
xzWBQayJse,722
eylimv,106
UkFbLPdaNKEmDutOwtFXn,267
bEEXTvklPpQ,875
qBPmPclESXHGJmUvbA,155
PssyEbrIJXrpitRJ,402
aDmYpFBfEsBndOkiUJLUl,824
qCrTeIoGLiXjMhvSXOmw,579
dxeCdtglNXYZICnO,923
FYxi,501
mMvRDIsxXlkfTBuMyhnVs,674
FMSyuQNwfYouDMAfeDFUaBLFuNPFYJY,500
mNgacmGFUMoJDnYJRgCV,99
UOVnwoXvoKnjQaNPKuRMALa,718
UUUSbwNWRNvoESXJohHmlZxmWQmVpVm,67
pTXrGakHFQsbSYKqahRos,428
LRFELdmSVZn,437
W,394
ZhSUjtIPsdhz,974
T,941
gCLMgUnYkkPujjszy,498
TsJxrkdcgcjfBzft,188
XsfSWdhjPWz,484
jEYUcB,964
cZytqJ,165
kIibsgSrDMUUqo,744
gNlB,980
dqAoMqB,540
GpXnkCmlE,307
IKOIk,531
ctaQdNFeoHEqapNpgzeMc,667
tEotPAklijuEAwzfDKVXvBKdtrDbB,331
IEVglwJTTGEnweDyUdzAZ,987
blvrjFtAyGvRqocAnWwCrHfaRMqzMLY,327
IWHqkBkxhLiCdCKYHXtWYSGEQMPscts,78
uadgdRjAJbkC,671
pHDnNsthCO,502
EhrT,140
VhVxHFbCAsqJOOMdSGwYBzHKVL,348
rgRLE,522
ENVDzHEjuGsXSJCbLeTjkZVi,831
tXOJNcGzQFvchMAGKNrktpsqROEf,534
ejHWmYKkaxUXJfMYoQhDcEub,769
xNgxbYCjjGnir,658
KAhvSflhhPtUnSnGTUOLumsaGcHrX,869
n,431
zGGjPogZFjtFRtCciOiRITUWSEKuUFJ,921
hBWFMiw,26
lznXBZkSoEkiZmuMy,284
AobCtdidaAmlyzHtJeSLUgYOM,330
htHOuvkbaKoEuBCLngshlvjXkOJobKc,480
ZMnaauwnZAZaUrIxWvckmw,557
aIlL,847
xVAgpx,157
DWltFeqbIpkywt,707
tJIYwfQwoznTuRBLdJOXxgbI,580
GHliUXczwHVamnoWblNe,950
BkKJJtGPxYxiIrVbrEp,666
FKqwZMuBVZSvmKZ,379
gZOFDhrPCTHVKsDzGcXLzcgu,509
wBehwhRa,477
NjkAIaxyPoA,820
W,426
JxHToLrJxwddXzUqSpqqoQCjzCShHv,364
vkttTcSOtxVtfWVytST,934
miNKmdd,924
GRP,353
IrqvToJPCchuvhHjRbCJkQqMzeD,79
FfPnafRUtuJpH,594
AnFROjynBTTimpLM,531
XlDhYMfNPEypKcpgweZ,955
jyQtNMNiWl,330
qqevmkuJOOOahDmzAM,850
UhGJowsFApMuRfPz,865
uiNcEh,973
BInBfTxLH,652
cNPKWAYrCcIgPMgI,904
CAQfqKZhxrlXqSlnjqOXL,593
WdtTxVStbfRqRBnDZtqNCcXpQXBBrq,104
Lc,712
GgGuTfxVSBGxPduyBYAX,386
dnCrYVhkMDlZmIm,737
ZuoFWMZCBMQHHNqmUqn,785
ZsxgbiapKjgaM,255
dnfzBeYviXyaKOICAvKPkYobtDgJJVp,157
SaxoTInpjeMgorLuzrnGNIlwVbpN,560
nzQKunLHvpxVA,871
Hg,423
MMfiT,763
IkmlOXcs,997
toLmmZOYCxgwqrJvYOVzDB,982
AryQodqWcN,537
nSNUhUDkIJxPhD,665
CYsTphEuAnuzh,896
BmTunW,197
nbPNTKZRUnVCoOLAKzafsE,165
PqhBEBUhpwYtDNmsYVhXwReONUmeP,793
FVVajlNEf,923
oKkzxwFmKlJUDvZQVZq,991
Q,582
RVW,411
